"case_name","warning_count","error_count","last_step","cp_line","elapsed_line"
"thom94d3_e_p10","0","0",," |        CP Time      (sec) =          0.094       Time  =  12:52:33          |"," |        Elapsed Time (sec) =          2.000       Date  =  04/02/2026        |"
"thom94d3_E_p10_1","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5381"," |        CP Time      (sec) =         35.188       Time  =  18:06:09          |"," |        Elapsed Time (sec) =        121.000       Date  =  03/29/2026        |"
"thom94d3_E_p10_2","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5381"," |        CP Time      (sec) =         34.984       Time  =  18:06:09          |"," |        Elapsed Time (sec) =        121.000       Date  =  03/29/2026        |"
"thom94d3_E_p10_3","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5381"," |        CP Time      (sec) =         47.250       Time  =  18:06:09          |"," |        Elapsed Time (sec) =        121.000       Date  =  03/29/2026        |"
"thom94d3_e_p10","23","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5463"," |        CP Time      (sec) =        118.141       Time  =  18:43:33          |"," |        Elapsed Time (sec) =        129.000       Date  =  03/29/2026        |"
"thom94d3_E_p10_1","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5463"," |        CP Time      (sec) =         42.234       Time  =  18:43:33          |"," |        Elapsed Time (sec) =        129.000       Date  =  03/29/2026        |"
"thom94d3_E_p10_2","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5463"," |        CP Time      (sec) =         42.344       Time  =  18:43:33          |"," |        Elapsed Time (sec) =        129.000       Date  =  03/29/2026        |"
"thom94d3_E_p10_3","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5463"," |        CP Time      (sec) =         54.438       Time  =  18:43:33          |"," |        Elapsed Time (sec) =        129.000       Date  =  03/29/2026        |"
"thom94d3_e_p20","0","0",," |        CP Time      (sec) =          0.141       Time  =  12:52:35          |"," |        Elapsed Time (sec) =          3.000       Date  =  04/02/2026        |"
"thom94d3_E_p20_1","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5381"," |        CP Time      (sec) =         34.656       Time  =  18:08:10          |"," |        Elapsed Time (sec) =        121.000       Date  =  03/29/2026        |"
