"specimen_id","displacement_mm","lateral_load_kN"
"thom94d3","0.23876","14.62041278"
"thom94d3","0.85344","20.29456349"
"thom94d3","1.39446","26.2947688"
"thom94d3","1.94056","31.6708887"
"thom94d3","2.47396","36.09597895"
"thom94d3","2.91846","38.62123401"
"thom94d3","2.8829","34.82022917"
"thom94d3","2.49174","27.78803659"
"thom94d3","2.09804","21.24514832"
"thom94d3","1.73482","15.38061375"
"thom94d3","1.21158","7.751469915"
"thom94d3","0.63754","0.801124602"
"thom94d3","-0.04064","-5.932147526"
"thom94d3","-0.18034","-7.50681776"
"thom94d3","-0.1905","-7.479683612"
"thom94d3","-0.76708","-16.24935131"
"thom94d3","-1.3716","-23.74282441"
"thom94d3","-2.00152","-30.3404258"
"thom94d3","-2.57556","-35.66183258"
"thom94d3","-3.09626","-40.14163595"
"thom94d3","-3.45186","-42.06905011"
"thom94d3","-3.03784","-33.78824189"
"thom94d3","-2.55524","-25.07328731"
"thom94d3","-2.032","-16.00514398"
"thom94d3","-1.524","-8.864414809"
"thom94d3","-0.96774","-1.805532904"
"thom94d3","-0.47498","4.873470928"
"thom94d3","0.09144","12.66541965"
"thom94d3","0.75438","20.4035449"
"thom94d3","1.39192","27.00070147"
"thom94d3","2.06756","33.05517507"
"thom94d3","2.69748","38.02383793"
"thom94d3","2.94386","36.80191162"
"thom94d3","2.5654","30.06863949"
"thom94d3","2.12852","22.65701366"
"thom94d3","1.69418","15.19067472"
"thom94d3","1.24968","8.864414809"
"thom94d3","0.84328","4.004733366"
"thom94d3","0.20066","-2.267258244"
"thom94d3","-0.20066","-7.208342131"
"thom94d3","-0.3175","-8.945817253"
"thom94d3","-1.15824","-19.99608786"
"thom94d3","-2.00914","-28.82002386"
"thom94d3","-2.86512","-36.88375889"
"thom94d3","-3.74904","-44.29538472"
"thom94d3","-4.56438","-47.63510904"
"thom94d3","-4.1656","-39.51710572"
"thom94d3","-3.7211","-32.40395552"
"thom94d3","-3.29438","-25.64354924"
"thom94d3","-2.62636","-17.09095473"
"thom94d3","-2.00914","-10.14060941"
"thom94d3","-1.13538","-0.257996818"
"thom94d3","-0.28956","9.678884074"
"thom94d3","0.58166","19.50722837"
"thom94d3","1.50368","26.5665551"
"thom94d3","2.20726","32.59389456"
"thom94d3","2.79908","37.3993077"
"thom94d3","3.3528","40.68476373"
"thom94d3","3.88112","43.67129931"
"thom94d3","4.03352","42.449373"
"thom94d3","3.69824","36.3406311"
"thom94d3","3.26136","29.77016386"
"thom94d3","2.74574","21.95108099"
"thom94d3","1.99644","13.72454107"
"thom94d3","1.14808","5.633671897"
"thom94d3","0.33274","-2.158276829"
"thom94d3","-0.13716","-8.049945544"
"thom94d3","-0.62484","-14.21295574"
"thom94d3","-1.4732","-23.30823322"
"thom94d3","-2.32918","-30.53036483"
"thom94d3","-3.19278","-37.07369792"
"thom94d3","-3.8354","-41.93337937"
"thom94d3","-4.3688","-45.49017688"
"thom94d3","-4.4069","-42.66644619"
"thom94d3","-3.91414","-34.43990627"
"thom94d3","-3.50266","-28.11409119"
"thom94d3","-2.9337","-19.80614882"
"thom94d3","-2.28092","-12.63828551"
"thom94d3","-1.4859","-4.411745588"
"thom94d3","-0.61214","5.389464564"
"thom94d3","0.18796","14.24008989"
"thom94d3","1.0414","22.98262344"
"thom94d3","1.78562","28.73862141"
"thom94d3","2.4384","33.84251019"
"thom94d3","3.18008","37.80676475"
"thom94d3","3.6449","40.63049544"
"thom94d3","4.07416","43.75270176"
"thom94d3","3.85318","38.05097208"
"thom94d3","3.42138","31.53477314"
"thom94d3","2.89814","23.93276345"
"thom94d3","2.20472","15.027425"
"thom94d3","1.36652","7.805738211"
"thom94d3","0.53848","0.285130966"
"thom94d3","-0.10414","-7.07267139"
"thom94d3","-0.16256","-7.154073834"
"thom94d3","-0.20066","-7.995677248"
"thom94d3","-1.36906","-22.22242247"
"thom94d3","-2.62636","-32.89237018"
"thom94d3","-3.88112","-42.42223885"
"thom94d3","-5.16128","-50.75731536"
"thom94d3","-6.45922","-53.63531435"
"thom94d3","-6.81736","-52.00637582"
"thom94d3","-6.53796","-47.227652"
"thom94d3","-6.06806","-40.87470277"
"thom94d3","-5.57276","-33.89722331"
"thom94d3","-4.88442","-25.83348828"
"thom94d3","-3.71602","-16.33075376"
"thom94d3","-2.46888","-6.719482643"
"thom94d3","-1.15824","4.98200752"
"thom94d3","0.03302","16.92814984"
"thom94d3","1.22428","27.16395118"
"thom94d3","2.52984","35.41762525"
"thom94d3","3.63982","42.17803152"
"thom94d3","4.61772","47.01057882"
"thom94d3","5.38734","49.78004121"
"thom94d3","5.81152","50.78444951"
"thom94d3","6.25348","51.84312611"
"thom94d3","6.0198","46.71210319"
"thom94d3","5.6515","40.92897107"
"thom94d3","4.99364","31.83369359"
"thom94d3","4.191","24.01416589"
"thom94d3","3.42138","18.50282007"
"thom94d3","2.51714","11.76954794"
"thom94d3","1.51638","3.35306899"
"thom94d3","0.47752","-5.144812409"
"thom94d3","-0.1397","-10.38481675"
"thom94d3","-0.15494","-10.19487771"
"thom94d3","-0.14986","-9.842133785"
"thom94d3","-1.143","-20.32214246"
"thom94d3","-2.4257","-29.82443216"
"thom94d3","-3.73126","-37.7253623"
"thom94d3","-5.05206","-44.81137835"
"thom94d3","-6.09092","-49.39971832"
"thom94d3","-6.61162","-50.97438855"
"thom94d3","-6.89102","-51.95210753"
"thom94d3","-6.6675","-47.36332274"
