"specimen_id","displacement_mm","lateral_load_kN"
"thom94d3","0.59436","-32.18643751"
"thom94d3","0.36576","-31.39910239"
"thom94d3","0.33274","-31.23629751"
"thom94d3","0.35814","-31.10062677"
"thom94d3","0.381","-31.01922432"
"thom94d3","0.381","-30.80170631"
"thom94d3","0.41402","-31.48050484"
"thom94d3","0.42926","-31.6708887"
"thom94d3","-3.38074","-34.52130871"
"thom94d3","-11.05154","-31.2905658"
"thom94d3","-18.85696","-26.10482976"
"thom94d3","-24.9174","-21.5707581"
"thom94d3","-28.30068","-19.37155763"
"thom94d3","-30.82036","-17.93255814"
"thom94d3","-33.20542","-16.57540591"
"thom94d3","-35.41014","-15.62482108"
"thom94d3","-37.40404","-14.91888841"
"thom94d3","-39.42334","-14.10441915"
"thom94d3","-38.33622","-1.669862163"
"thom94d3","-37.20338","5.199080705"
"thom94d3","-36.06546","9.434676741"
"thom94d3","-34.90468","13.28994988"
"thom94d3","-33.72358","16.52069279"
"thom94d3","-30.17266","23.851361"
"thom94d3","-25.49652","30.12335261"
"thom94d3","-20.96516","31.07349262"
"thom94d3","-16.43634","31.01922432"
"thom94d3","-10.1473","30.74743802"
"thom94d3","-3.82524","29.82443216"
"thom94d3","2.42316","27.48956096"
"thom94d3","8.83158","21.92394684"
"thom94d3","14.98854","17.55268007"
"thom94d3","20.27936","14.67468108"
"thom94d3","24.5491","12.61115136"
"thom94d3","27.29992","11.57960891"
"thom94d3","29.7561","11.30826743"
"thom94d3","31.39948","11.19928601"
"thom94d3","32.94888","10.92794453"
"thom94d3","34.544","10.98221283"
"thom94d3","36.29914","11.52534061"
"thom94d3","38.17366","11.71527965"
"thom94d3","40.06596","12.52974891"
"thom94d3","38.75786","0.420801707"
"thom94d3","37.07892","-7.860006507"
"thom94d3","36.37026","-10.43908504"
"thom94d3","36.02482","-11.95948698"
"thom94d3","33.4772","-19.56194149"
"thom94d3","30.33268","-25.69781754"
"thom94d3","26.06548","-31.20916336"
"thom94d3","21.33854","-33.59830286"
"thom94d3","16.49222","-34.54844286"
"thom94d3","10.12444","-33.35409552"
"thom94d3","3.9751","-30.88355358"
"thom94d3","0.64262","-28.63008482"
"thom94d3","0.55118","-27.9512863"
"thom94d3","0.55372","-27.73376829"
"thom94d3","-5.76326","-24.74723271"
"thom94d3","-13.31722","-16.11368057"
"thom94d3","-19.65198","-11.36253572"
"thom94d3","-25.85466","-7.697201618"
"thom94d3","-31.28772","-5.525135304"
"thom94d3","-34.6202","-5.470867008"
"thom94d3","-37.70122","-5.036275816"
"thom94d3","-39.17442","0.447935855"
"thom94d3","-36.18738","12.20413914"
"thom94d3","-34.3408","15.00029086"
"thom94d3","-33.78454","16.03227813"
"thom94d3","-33.23336","16.90101569"
"thom94d3","-32.7025","17.47127762"
"thom94d3","-32.18942","18.0686737"
"thom94d3","-31.66364","18.34001518"
"thom94d3","-31.12262","19.01881371"
"thom94d3","-30.57906","19.29015519"
"thom94d3","-28.40482","20.59348394"
"thom94d3","-22.4536","20.10462445"
"thom94d3","-15.95882","17.82402155"
"thom94d3","-8.01624","14.97315671"
"thom94d3","-0.1778","15.86947324"
"thom94d3","6.59384","15.08213812"
"thom94d3","13.04036","13.0186084"
"thom94d3","18.02384","11.57960891"
"thom94d3","22.8092","10.92794453"
"thom94d3","27.55392","10.60233475"
"thom94d3","32.31388","11.14501772"
"thom94d3","37.01542","12.63828551"
"thom94d3","39.5224","7.452549463"
"thom94d3","35.39236","-7.887140655"
"thom94d3","30.63748","-17.11808887"
"thom94d3","25.90546","-22.49376395"
"thom94d3","21.082","-24.96475072"
"thom94d3","16.24838","-24.85621413"
"thom94d3","10.84072","-23.71569026"
"thom94d3","4.3434","-20.67488639"
"thom94d3","0.66548","-18.34001518"
"thom94d3","0.54864","-17.82402155"
"thom94d3","0.52578","-17.30847273"
"thom94d3","0.53594","-17.82402155"
